Date and Time,Configuration,Temperature,Reasoning,Prompt,Answer Relevancy (Avg),Correctness (Avg),Faithfulness (Avg),Hallucination (Avg),Specific Information Accuracy (Avg),Answer Relevancy (GPT-4o),Answer Relevancy (Sonnet3.5),Correctness (GPT-4o),Correctness (Sonnet3.5),Faithfulness (GPT-4o),Faithfulness (Sonnet3.5),Hallucination (GPT-4o),Hallucination (Sonnet3.5),Specific Information Accuracy (GPT-4o),Specific Information Accuracy (Sonnet3.5)
2025-03-12 18:10:52,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,prompt_risen.txt,64.11,67.95,91.03,70.51,73.08,61.54,66.67,51.28,84.62,87.18,94.87,58.97,82.05,74.36,71.79
2025-03-12 18:24:17,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,prompt_rodes.txt,58.97,66.66,96.16,67.95,67.94,56.41,61.54,58.97,74.36,97.44,94.87,51.28,84.62,64.1,71.79
2025-03-13 10:23:24,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.2,None,prompt_chain_of_thought.txt,61.54,66.67,92.31,65.38,67.95,66.67,56.41,53.85,79.49,92.31,92.31,48.72,82.05,61.54,74.36
2025-03-13 10:37:12,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.2,None,prompt_rtf.txt,56.41,71.79,93.59,74.36,67.95,58.97,53.85,64.1,79.49,89.74,97.44,64.1,84.62,66.67,69.23
2025-03-13 10:54:05,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.2,None,prompt_chain_of_density.txt,69.23,35.89,94.88,71.8,58.97,69.23,69.23,33.33,38.46,92.31,97.44,58.97,84.62,64.1,53.85
2025-03-13 11:40:14,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.2,None,prompt_risen.txt,61.54,70.51,94.87,69.23,71.79,56.41,66.67,64.1,76.92,94.87,94.87,56.41,82.05,71.79,71.79
2025-03-13 11:53:14,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.2,None,prompt_rodes.txt,57.69,65.38,96.16,69.23,65.38,56.41,58.97,58.97,71.79,94.87,97.44,58.97,79.49,64.1,66.67
2025-03-13 12:06:59,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.0,None,prompt_chain_of_thought.txt,62.82,71.79,97.44,65.39,69.23,58.97,66.67,64.1,79.49,100.0,94.87,46.15,84.62,64.1,74.36
2025-03-13 12:20:53,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.0,None,prompt_rtf.txt,61.54,75.65,91.03,73.08,73.08,53.85,69.23,66.67,84.62,92.31,89.74,58.97,87.18,71.79,74.36
2025-03-13 12:34:13,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.0,None,prompt_chain_of_density.txt,78.21,57.7,94.88,61.54,62.82,71.79,84.62,53.85,61.54,92.31,97.44,48.72,74.36,69.23,56.41
2025-03-13 12:58:17,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.0,None,prompt_risen.txt,66.66,76.92,93.59,66.67,78.2,64.1,69.23,71.79,82.05,87.18,100.0,46.15,87.18,79.49,76.92
2025-03-13 13:13:57,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET,0.0,None,current_user_template.txt,58.97,76.93,92.31,74.35,71.79,61.54,56.41,69.23,84.62,97.44,87.18,58.97,89.74,71.79,71.79
2025-03-13 14:36:32,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,current_user_template.txt,48.72,48.72,97.44,65.39,53.84,51.28,46.15,46.15,51.28,97.44,97.44,43.59,87.18,48.72,58.97
2025-03-13 15:21:40,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,current_user_template.txt,47.44,46.16,100.0,58.98,56.41,46.15,48.72,41.03,51.28,100.0,100.0,33.33,84.62,48.72,64.1
2025-03-13 15:58:29,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.0,None,current_user_template.txt,48.72,75.65,96.16,66.66,67.95,48.72,48.72,66.67,84.62,92.31,100.0,51.28,82.05,69.23,66.67
2025-03-13 16:12:11,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.0,None,previous_user_template.txt,62.82,70.52,91.03,78.2,84.62,64.1,61.54,61.54,79.49,89.74,92.31,61.54,94.87,84.62,84.62
2025-03-13 16:26:18,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.2,None,current_user_template.txt,52.56,69.23,96.16,71.8,69.23,53.85,51.28,53.85,84.62,94.87,97.44,56.41,87.18,76.92,61.54
2025-03-13 16:40:16,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.2,None,previous_user_template.txt,64.1,75.64,94.87,76.92,88.46,71.79,56.41,74.36,76.92,94.87,94.87,61.54,92.31,89.74,87.18
2025-03-13 17:24:53,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.0,None,prompt_rodes.txt,64.1,70.51,92.31,71.8,75.64,64.1,64.1,64.1,76.92,87.18,97.44,61.54,82.05,76.92,74.36
2025-03-14 09:33:05,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_chain_of_thought.txt,61.53,60.26,94.87,76.92,64.11,64.1,58.97,51.28,69.23,94.87,94.87,61.54,92.31,61.54,66.67
2025-03-14 10:57:45,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_risen.txt,61.53,51.28,94.87,71.8,61.54,58.97,64.1,43.59,58.97,94.87,94.87,61.54,82.05,53.85,69.23
2025-03-14 21:24:04,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_rodes.txt,60.25,53.84,92.31,71.8,62.82,56.41,64.1,48.72,58.97,89.74,94.87,56.41,87.18,61.54,64.1
2025-03-14 21:36:51,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,prompt_chain_of_thought.txt,53.84,55.13,94.87,70.52,65.38,56.41,51.28,43.59,66.67,94.87,94.87,53.85,87.18,58.97,71.79
2025-03-14 22:01:15,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,prompt_risen.txt,56.41,53.84,97.44,75.65,64.1,48.72,64.1,46.15,61.54,100.0,94.87,66.67,84.62,58.97,69.23
2025-03-14 22:13:44,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,prompt_rodes.txt,64.11,55.12,97.44,71.8,57.69,61.54,66.67,51.28,58.97,97.44,97.44,58.97,84.62,51.28,64.1
2025-03-14 22:26:37,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.2,None,prompt_chain_of_thought.txt,65.38,53.84,93.59,69.23,57.7,58.97,71.79,51.28,56.41,92.31,94.87,53.85,84.62,53.85,61.54
2025-03-14 22:39:35,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.2,None,prompt_rtf.txt,69.23,76.92,94.88,69.23,71.79,66.67,71.79,71.79,82.05,97.44,92.31,53.85,84.62,71.79,71.79
2025-03-14 23:00:35,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.2,None,prompt_risen.txt,69.23,78.21,98.72,66.67,73.08,64.1,74.36,71.79,84.62,100.0,97.44,48.72,84.62,76.92,69.23
2025-03-14 23:13:55,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.2,None,prompt_rodes.txt,64.1,67.94,93.59,70.52,66.66,58.97,69.23,58.97,76.92,89.74,97.44,61.54,79.49,64.1,69.23
2025-03-14 23:27:35,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.0,None,prompt_chain_of_thought.txt,60.25,56.41,89.75,73.07,56.41,64.1,56.41,48.72,64.1,92.31,87.18,56.41,89.74,51.28,61.54
2025-03-17 11:54:41,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET,0.0,None,prompt_chain_of_thought.txt,65.38,37.18,96.16,69.23,43.59,66.67,64.1,28.21,46.15,94.87,97.44,53.85,84.62,35.9,51.28
2025-03-17 12:11:18,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET,0.0,None,prompt_rtf.txt,55.13,71.8,92.31,65.38,74.36,53.85,56.41,69.23,74.36,94.87,89.74,51.28,79.49,71.79,76.92
2025-03-17 14:05:23,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.0,None,prompt_rtf.txt,41.03,70.51,92.31,69.23,74.36,43.59,38.46,58.97,82.05,89.74,94.87,53.85,84.62,71.79,76.92
2025-03-17 16:36:52,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_gemini_v.1.txt,73.08,53.85,85.9,61.53,64.1,66.67,79.49,53.85,53.85,97.44,74.36,46.15,76.92,64.1,64.1
2025-03-17 16:49:01,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,prompt_gemini_v.1.txt,71.8,50.0,85.9,61.54,65.39,69.23,74.36,48.72,51.28,92.31,79.49,43.59,79.49,61.54,69.23
2025-03-18 11:12:30,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_gemini_v.1.b.txt,74.36,48.72,93.59,62.82,58.97,69.23,79.49,38.46,58.97,94.87,92.31,43.59,82.05,56.41,61.54
2025-03-18 11:23:52,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_gemini_v.1.c.txt,57.69,51.28,98.72,58.98,66.66,56.41,58.97,48.72,53.85,97.44,100.0,33.33,84.62,58.97,74.36
2025-03-18 11:35:11,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,prompt_gemini_v.1.b.txt,75.64,47.44,92.31,64.1,57.7,74.36,76.92,38.46,56.41,97.44,87.18,46.15,82.05,53.85,61.54
2025-03-18 12:23:10,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,prompt_gemini_v.1.c.txt,56.41,46.16,97.44,65.38,65.39,56.41,56.41,38.46,53.85,94.87,100.0,41.03,89.74,61.54,69.23
2025-03-18 12:28:54,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,prompt_gemini_v.1.b.txt,83.34,47.44,92.31,64.11,67.95,84.62,82.05,43.59,51.28,92.31,92.31,43.59,84.62,69.23,66.67
2025-03-18 12:36:25,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,prompt_gemini_v.1.c.txt,60.25,64.1,92.31,60.26,78.2,61.54,58.97,58.97,69.23,94.87,89.74,43.59,76.92,79.49,76.92
2025-03-18 12:53:52,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,prompt_gemini_v.1.txt,78.2,52.56,88.46,61.53,64.11,74.36,82.05,48.72,56.41,87.18,89.74,46.15,76.92,61.54,66.67
2025-03-18 14:27:58,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_gemini_v.1.d.txt,70.52,53.84,93.59,52.56,69.23,61.54,79.49,48.72,58.97,92.31,94.87,35.9,69.23,66.67,71.79
2025-03-18 15:23:59,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,prompt_gemini_v.1.d.txt,71.79,53.84,96.16,58.97,70.52,64.1,79.49,51.28,56.41,94.87,97.44,46.15,71.79,66.67,74.36
2025-03-18 17:45:26,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,prompt_chain_of_thought.txt,74.36,57.69,91.03,67.95,64.1,79.49,69.23,46.15,69.23,87.18,94.87,51.28,84.62,58.97,69.23
2025-03-19 10:50:29,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,prompt_rtf.txt,66.67,73.08,87.18,74.36,73.08,66.67,66.67,69.23,76.92,87.18,87.18,61.54,87.18,69.23,76.92
2025-03-19 11:05:05,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,current_user_template.txt,70.52,67.95,96.16,74.36,62.82,74.36,66.67,56.41,79.49,94.87,97.44,61.54,87.18,66.67,58.97
2025-03-19 11:31:15,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,previous_user_template.v2.txt,62.82,60.25,94.88,60.25,76.92,56.41,69.23,56.41,64.1,92.31,97.44,46.15,74.36,74.36,79.49
2025-03-19 11:48:57,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,previous_user_template.v2.txt,66.67,61.54,93.59,61.54,70.52,66.67,66.67,56.41,66.67,89.74,97.44,48.72,74.36,66.67,74.36
2025-03-19 13:01:43,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,previous_user_template.v2.txt,65.38,65.38,96.16,66.66,76.92,58.97,71.79,58.97,71.79,97.44,94.87,51.28,82.05,79.49,74.36
2025-03-19 13:16:21,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,prompt_risen.txt,73.08,66.67,92.31,69.23,67.95,69.23,76.92,53.85,79.49,94.87,89.74,48.72,89.74,61.54,74.36
2025-03-19 13:29:14,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,previous_user_template.txt,64.11,74.36,92.31,74.36,75.64,61.54,66.67,69.23,79.49,89.74,94.87,66.67,82.05,74.36,76.92
2025-03-19 13:42:01,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,prompt_rodes.txt,70.51,71.79,94.87,71.8,70.51,69.23,71.79,64.1,79.49,94.87,94.87,58.97,84.62,69.23,71.79
2025-03-19 13:55:37,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,previous_user_template.v2.txt,70.52,65.38,89.75,64.1,71.8,74.36,66.67,58.97,71.79,92.31,87.18,51.28,76.92,74.36,69.23
2025-03-19 15:24:35,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_rtf.txt,73.08,57.7,92.31,69.23,62.82,69.23,76.92,48.72,66.67,89.74,94.87,58.97,79.49,58.97,66.67
2025-03-19 16:45:31,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,prompt_chain_of_thought.txt,67.94,53.84,91.03,64.1,60.25,71.79,64.1,46.15,61.54,92.31,89.74,48.72,79.49,64.1,56.41
2025-03-19 17:03:26,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,prompt_rtf.txt,69.23,73.08,92.31,76.92,69.23,66.67,71.79,66.67,79.49,92.31,92.31,61.54,92.31,66.67,71.79
2025-03-19 17:22:19,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,current_user_template.txt,60.25,65.38,93.59,67.95,65.39,64.1,56.41,48.72,82.05,94.87,92.31,51.28,84.62,61.54,69.23
2025-03-19 17:41:07,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,prompt_risen.txt,66.67,69.23,91.03,70.52,74.36,71.79,61.54,64.1,74.36,89.74,92.31,56.41,84.62,71.79,76.92
2025-03-19 18:10:45,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,previous_user_template.txt,65.38,71.8,96.16,69.23,79.49,66.67,64.1,61.54,82.05,94.87,97.44,56.41,82.05,79.49,79.49
2025-03-19 18:27:57,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,prompt_rodes.txt,67.95,64.11,94.88,66.66,73.08,69.23,66.67,53.85,74.36,97.44,92.31,56.41,76.92,74.36,71.79
2025-03-19 18:43:34,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,previous_user_template.txt,66.66,61.53,93.59,67.95,74.36,64.1,69.23,58.97,64.1,92.31,94.87,56.41,79.49,71.79,76.92
2025-03-19 18:59:30,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,prompt_rtf.txt,70.51,58.97,96.16,69.23,65.39,69.23,71.79,53.85,64.1,94.87,97.44,56.41,82.05,61.54,69.23
2025-03-19 19:15:21,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.2,None,previous_user_template.txt,73.08,56.41,92.31,65.38,75.64,71.79,74.36,51.28,61.54,92.31,92.31,51.28,79.49,74.36,76.92
2025-03-19 19:33:15,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.0,None,previous_user_template.v2.txt,61.54,69.23,92.31,57.69,76.92,53.85,69.23,64.1,74.36,89.74,94.87,43.59,71.79,79.49,74.36
2025-03-19 19:57:46,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI_MINI,0.2,None,previous_user_template.v2.txt,69.23,69.23,91.03,58.97,76.93,61.54,76.92,64.1,74.36,87.18,94.87,46.15,71.79,84.62,69.23
2025-03-19 21:12:38,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.0,None,previous_user_template.v2.txt,70.51,73.08,98.72,60.26,80.77,69.23,71.79,66.67,79.49,100.0,97.44,48.72,71.79,84.62,76.92
2025-03-19 21:46:28,GENAI_SHARED_AZURE_OPENAI_GPT_4_OMNI,0.2,None,previous_user_template.v2.txt,70.52,74.36,96.16,64.1,83.34,66.67,74.36,66.67,82.05,94.87,97.44,56.41,71.79,87.18,79.49
2025-03-19 21:59:32,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.0,None,previous_user_template.v2.txt,57.7,74.36,98.72,67.95,85.9,53.85,61.54,61.54,87.18,100.0,97.44,53.85,82.05,84.62,87.18
2025-03-19 22:10:38,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.0,None,prompt_risen.txt,53.84,67.94,92.31,70.52,76.92,56.41,51.28,58.97,76.92,94.87,89.74,56.41,84.62,74.36,79.49
2025-03-19 22:22:43,GENAI_SHARED_VERTEXAI_ANTHROPIC_CLAUDE_35_SONNET_V2,0.0,None,prompt_rodes.txt,57.69,65.38,94.87,73.07,74.36,56.41,58.97,51.28,79.49,94.87,94.87,56.41,89.74,69.23,79.49
2025-03-20 09:33:41,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.0,None,previous_user_template.v2.txt,66.67,62.82,89.74,70.52,71.8,61.54,71.79,56.41,69.23,89.74,89.74,56.41,84.62,76.92,66.67
2025-03-20 09:43:15,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.0,None,prompt_rtf.txt,50.0,57.7,83.34,69.23,67.95,51.28,48.72,48.72,66.67,79.49,87.18,56.41,82.05,66.67,69.23
2025-03-20 10:13:22,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.0,None,prompt_risen.txt,47.44,64.11,89.75,66.67,74.36,53.85,41.03,61.54,66.67,84.62,94.87,53.85,79.49,76.92,71.79
2025-03-20 10:55:31,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.0,None,prompt_rodes.txt,55.12,61.54,97.44,73.07,70.51,58.97,51.28,56.41,66.67,100.0,94.87,64.1,82.05,76.92,64.1
2025-03-20 12:31:25,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.2,None,previous_user_template.v2.txt,60.25,61.54,87.18,69.23,65.38,58.97,61.54,51.28,71.79,84.62,89.74,56.41,82.05,66.67,64.1
2025-03-20 12:48:49,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.2,None,prompt_rtf.txt,52.56,58.98,82.06,69.23,66.67,53.85,51.28,48.72,69.23,79.49,84.62,53.85,84.62,66.67,66.67
2025-03-20 12:55:37,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.2,None,current_user_template.txt,62.82,61.54,87.18,65.38,67.94,61.54,64.1,53.85,69.23,84.62,89.74,58.97,71.79,64.1,71.79
2025-03-20 13:03:32,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.2,None,prompt_risen.txt,53.85,58.97,89.75,64.1,71.8,53.85,53.85,46.15,71.79,84.62,94.87,56.41,71.79,74.36,69.23
2025-03-20 13:10:44,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.2,None,previous_user_template.txt,62.82,61.53,79.49,65.38,73.07,61.54,64.1,58.97,64.1,79.49,79.49,58.97,71.79,82.05,64.1
2025-03-20 14:21:18,GENAI_SHARED_BEDROCK_ANTHROPIC_CLAUDE_3_HAIKU,0.2,None,prompt_rodes.txt,55.12,62.82,93.59,69.23,73.07,51.28,58.97,53.85,71.79,92.31,94.87,58.97,79.49,82.05,64.1
2025-03-20 14:28:00,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_15_PRO,0.0,None,previous_user_template.v2.txt,58.97,52.56,94.87,58.98,64.11,53.85,64.1,48.72,56.41,94.87,94.87,41.03,76.92,66.67,61.54
2025-03-20 14:34:51,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_15_PRO,0.0,None,prompt_chain_of_thought.txt,61.54,47.44,80.77,73.08,51.28,56.41,66.67,41.03,53.85,84.62,76.92,58.97,87.18,46.15,56.41
2025-03-20 14:46:32,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_15_PRO,0.0,None,prompt_rtf.txt,67.95,51.28,88.47,69.23,58.97,66.67,69.23,43.59,58.97,92.31,84.62,51.28,87.18,61.54,56.41
2025-03-20 14:52:02,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_15_PRO,0.0,None,current_user_template.txt,74.36,60.26,93.59,65.39,56.41,74.36,74.36,53.85,66.67,100.0,87.18,43.59,87.18,53.85,58.97
2025-03-20 14:57:47,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_15_PRO,0.0,None,prompt_risen.txt,71.8,57.7,87.18,67.95,61.54,74.36,69.23,48.72,66.67,89.74,84.62,56.41,79.49,61.54,61.54
2025-03-20 15:05:40,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_15_PRO,0.0,None,previous_user_template.txt,67.94,56.41,97.44,65.38,65.38,64.1,71.79,51.28,61.54,97.44,97.44,51.28,79.49,71.79,58.97
2025-03-20 15:55:24,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,prompt_with_quotes_v.a.txt,78.2,60.26,92.31,61.54,76.92,74.36,82.05,53.85,66.67,89.74,94.87,48.72,74.36,79.49,74.36
2025-03-20 16:15:14,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.0,None,prompt_with_quotes_v.b.txt,65.39,61.54,87.18,57.69,73.08,69.23,61.54,56.41,66.67,92.31,82.05,46.15,69.23,71.79,74.36
2025-03-20 16:24:09,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,prompt_with_quotes_v.a.txt,71.8,67.95,92.31,60.26,73.08,74.36,69.23,61.54,74.36,89.74,94.87,43.59,76.92,69.23,76.92
2025-03-20 16:33:28,GENAI_SHARED_AZURE_OPENAI_O3_MINI,0.2,None,prompt_with_quotes_v.b.txt,62.82,52.56,88.47,61.53,66.67,71.79,53.85,46.15,58.97,92.31,84.62,46.15,76.92,66.67,66.67
2025-03-20 16:38:51,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_with_quotes_v.a.txt,58.97,58.97,94.88,60.26,70.51,58.97,58.97,56.41,61.54,92.31,97.44,48.72,71.79,69.23,71.79
2025-03-20 17:19:15,GENAI_SHARED_VERTEXAI_GOOGLE_GEMINI_2_FLASH,0.0,None,prompt_with_quotes_v.b.txt,64.11,48.72,83.34,60.26,66.67,66.67,61.54,41.03,56.41,92.31,74.36,43.59,76.92,61.54,71.79
